"plot","CP3-012","CP3-014","CP3-2023-01","CP3-998","CP5-002","DryGB2-006","DryGB2-019","DryGB3-996","DryGB3-997","DryGB3-998","DryGB3-999","DryGB4-009","DryGB5-019","GB3-003","GB3-014","GB4-007","GB4-018","GB4-020","GB4-997","GB4-998","GB4-999","GB5-005","GB5-019x","GB6-011","GB6-999","GB7-002","GP3-008","GP3-997","GP3-999","GP4-999","GP5-005","PNWMtn3-008","PNWMtn7-012","RkyMtn4-015","RkyMtn4-017","RkyMtn4-999","RkyMtn5-015","RkyMtn5-017","RkyMtn5-999","RkyMtn6-010","RkyMtn7-999","WYBas2-006","WYBas3-014","WYBas3-999","WYBas4-010","WYBas4-019","WYBas4-999","WYBas5-020","WYBas5-999","WYBas6-007","WYBasX-001"
"CP3-012",91.3435700669993,78.1173298336957,93.0139792279211,101.274886508118,73.5274064421542,102.648840688605,95.152358520807,107.989188294899,89.0191930718785,79.0801554259857,95.2850544442452,89.3881311637189,87.9287632450908,97.0026630897415,73.9289863785947,103.512141074748,95.0351498002453,72.8154103110056,108.574586417658,88.4800004661804,76.5137295024273,85.7118180376567,97.4803140421413,90.7225928726116,99.6366309186542,94.4730206237388,79.2448011450985,105.93529333762,105.022528988277,99.8624870981702,94.6003118516209,90.8703568103519,107.391575543711,82.6608312478787,92.0226564318929,101.623967032782,104.109671624147,101.036328107453,98.5118310957321,106.436077438254,108.910731321545,82.7662605251568,76.39690552779,91.524763047401,97.976179961381,95.4785261166544,87.2816459124965,87.4397912196279,103.045627889036,110.657731713185,86.9686672765261
"CP3-014",115.127587258062,100.518030815364,117.479749841172,124.853691258201,94.1265391552489,126.185571467712,118.963172074091,133.790770704833,113.255733842856,101.243186862896,119.049085144232,113.555462231185,111.882221715205,121.089675684391,94.4832448011715,127.255531216732,119.312054346084,92.4456551966501,133.472524733924,112.691727668226,98.5890114025575,109.384860362571,122.331403730848,115.021896217998,124.894276009237,119.252864152144,100.984418941829,131.390054000483,130.101044350983,124.874000436717,119.197350824359,114.814274649303,132.486006611316,106.137458151746,116.269078259758,126.153861154231,129.453449096586,125.705018329933,123.531915293809,132.391327348243,134.79616589441,106.216220342132,98.6433138379851,115.856795619239,122.85317568327,120.185945596135,111.320993730246,111.623434202436,127.993360553063,135.984243942207,110.503261753244
"CP3-2023-01",97.0177303823726,82.9014932878758,99.9736239846501,107.859735906689,77.2865464895584,109.260791312821,100.929523233183,118.47541249094,95.2619497842891,84.0469801743261,101.205115843075,95.9315299021455,93.1786875297354,103.591275722943,77.5399796734395,110.434512463033,101.596344113183,76.5510704174785,117.66600584926,95.239407601784,81.2346149469313,90.3349482282677,105.164966601929,96.8772446572809,108.640533023825,102.659543954725,84.0051161422422,115.597705982653,113.993103179741,109.152014393344,101.931763171069,96.3243360871229,116.279632833558,87.6190085631417,99.5272247989211,109.300769964437,113.155666363365,108.783738808639,107.155508341002,116.595226857056,119.070365527115,87.7749724712036,81.3067914365345,97.746755290579,106.671224162447,103.446517876618,92.7349298921507,93.2097543628136,111.7278539113,120.432329831111,92.7416500825898
"CP3-998",92.8492634520314,81.0799169106495,94.0684970984864,102.493095038042,77.7344377139422,102.819078509455,95.6771802293419,107.618165250038,89.1028462622029,81.2264813198027,96.3019068463736,89.6459801447085,89.0877106729968,97.4877515642127,77.11709070271,103.867450846167,95.1845139173431,75.9796591839874,108.576369084197,90.6953548578997,79.9611329023237,87.1517898446124,98.6890720828712,92.0197881520995,100.522733852663,95.3041303658996,83.9936132017138,107.783734727443,106.427735010389,102.255743845204,95.9620510767078,91.8856330350872,108.451314311527,84.753174436855,93.7216061997806,102.244388896446,105.495246861885,101.959603089583,99.9289500931992,107.983102891628,110.587862993177,84.8370023230752,80.3472634641369,92.7104684764908,99.3733594568318,96.5190577712451,88.7824020121419,89.0671925768966,103.926784670597,111.77167247728,89.6067121155218
"CP5-002",140.973266103004,118.789723884644,144.533452516801,157.384055930929,109.738379091986,157.833832441147,144.996947800916,171.295005799276,135.860544970782,119.875251149284,146.503932997751,137.405741756446,133.059305763006,149.011984482662,107.372283032377,159.713536579642,145.637732340161,107.174419390443,170.190875025517,138.816187570927,116.152648604737,128.212687231385,152.948550472512,139.900439052605,157.715032674876,148.772171613629,126.785215745976,170.353473979016,167.008646314165,162.495445823036,147.959843957524,138.106902161536,169.473437475643,124.99320168641,146.057454090363,157.962149244323,165.747426575451,157.929995249696,157.327653606995,171.851693926596,175.380980231148,125.231509618588,118.316028271786,141.135712375251,156.71620555786,150.208777334292,133.055266995415,133.904261992295,162.815227716526,176.166191838858,136.325475144686
"DryGB2-006",46.3617696317376,41.421510015024,46.6268235965928,50.5926163982797,40.0916407204104,52.094945392082,48.7304236032545,51.4650190773682,45.5393811904452,41.5986295537803,48.3772010179839,45.308797026829,45.6692036749502,48.8888595068552,40.8145757975898,52.0237805092379,47.8667367445771,39.8438637906675,52.672525992787,44.5940679329141,40.8607200210827,45.5343056335955,48.3116862506689,46.104818181187,48.3699823073391,46.4405782661381,41.0433343129515,50.6339157717576,50.7514685506792,47.8259665541669,47.0189671926762,46.916570338701,52.6568600493078,43.4962800818597,45.6232819799533,50.4462727509608,50.4050969809486,50.0714166823256,48.0059226195339,50.6987839220834,51.9377956342626,43.4623312961906,40.505681881869,46.4705224278443,47.7175053395572,47.0663127338844,45.2052952338275,45.037689760162,50.1469210291815,53.1324579204928,44.2269341910664
"DryGB2-019",54.1496163004846,50.0868089669534,54.3957290461125,57.7783845063214,48.8648786388083,58.8978780252072,56.2388975339769,58.8375789914009,53.5405558455054,50.2743418371833,55.9381297657476,53.3729703701168,53.8408815196427,56.4644755225178,49.7871456606409,59.0390290641326,55.5510256060602,48.5807133564628,59.7180954633063,52.7528697206328,49.6370982699813,53.433157665625,55.8306549328917,54.0473694006354,56.0485406626977,54.399098895948,49.2022218926368,58.0085222907969,58.0154219564493,55.5993208028951,54.7538462811891,54.7734186729491,59.5581152515769,51.8360222885653,53.3801292858066,57.6131239521185,57.7544119292418,57.2664060219357,55.5125889296775,58.1773128898197,59.2014515467624,51.8042729718754,49.2089526936644,54.3545600433479,55.2234228307288,54.7888311615166,53.2816262344943,53.1812258635823,57.4682644277857,60.0788745689926,52.2142303348177
"DryGB3-996",115.27914551003,103.588587007952,117.488511220513,122.338955967042,96.0814491036873,123.983989444077,118.545497775892,129.212311840954,115.211218943523,103.714883839909,118.37310238213,115.296565310637,113.39749092282,119.975156722508,96.782036547443,124.772245426684,118.716788200244,93.7004742805999,129.483558611264,114.57371487602,101.820711410282,111.678824685851,121.287624018854,115.826535718222,122.952103391783,119.106564119153,104.966701163126,127.344995501347,126.557840981814,123.377994415306,118.688538120962,115.514554425731,128.803815837763,109.416337101173,116.792004081963,123.822937728522,126.678517681381,123.668218233319,121.929954353524,128.695595659137,130.806991496863,109.386428748261,102.501659926693,116.392806190393,121.202965114298,119.302065245855,113.167695834634,113.531448325379,125.112301219927,131.303897383243,112.413139498513
"DryGB3-997",115.554274057163,103.117102645215,118.363185006277,124.152030270295,95.7565600064113,127.216455753092,120.67925843218,133.027229628349,116.152531541918,103.533276297086,119.910103004821,115.752499674527,114.313206024323,122.176140890622,97.8657965250355,128.025094715395,120.788888871616,94.6284150591196,133.263070143321,113.647538107662,101.017885738476,112.454617601704,122.762846364215,116.630307244177,124.542599204645,119.49236546175,99.7306070764452,129.20332072489,128.761671711199,123.105541378283,119.474729377952,116.905343296805,132.028868602672,109.095383670106,116.469399533189,126.573823759363,128.922217952566,126.126885745729,123.04294563203,130.913333154481,133.422836190019,109.072103239919,100.733738750918,117.409115793339,122.230191942184,120.293358099353,113.662257003697,113.775201597461,127.606646704449,134.743596171895,110.758387811604
"DryGB3-998",86.261856740425,78.7626072199135,88.5685719415331,92.8230486472681,74.8811074399208,94.8422098539875,89.6360602451583,99.5252355079165,86.6619315565335,79.6441415229143,89.2012305976993,86.7443404135506,85.0354306351514,90.8909911213434,76.214702651973,95.5764466739314,89.8453004489449,74.951002460073,99.8083750919971,85.937127676477,77.8441012199329,83.5666119098379,91.8099946318135,86.9775537376793,93.6666161227936,90.2782886357194,77.488065261121,97.2905097393635,96.7722272759198,93.8669501693039,89.583550731171,86.8695372065083,98.9970698385511,81.6207087307158,87.5831432139582,94.4538127832082,96.8384685400343,94.1395971061479,92.3377064924269,98.5889989678541,100.628411546593,81.6406528413923,77.7706729922206,87.5104351235981,91.6836735236562,90.1624000623015,84.6588270329956,84.9092763707013,95.5331441494255,101.300204347617,83.4771227720723
"DryGB3-999",107.294471616872,96.2316143664281,109.111005821404,114.943215941126,91.630872771138,116.302738689031,110.656710760849,121.919964740027,106.477570065752,96.8637422048643,110.516297099243,106.564567913142,105.284578060355,112.218875304063,92.613892530915,117.066411068854,110.914344687521,90.2942929393162,122.036138294453,105.163298952166,94.7166015492743,103.545313595857,112.699393088648,107.297051543744,114.792857631688,110.479797713985,95.3624105787558,119.493961316288,118.824151811952,113.797526097606,110.313817971003,107.390716049016,120.831240476551,100.869700978608,107.620965638125,116.046889599942,118.224289143606,115.495296313826,113.200653955583,120.201139394907,122.32917463809,100.906778360889,94.2764187354507,107.94324584415,112.579685618869,110.976011627096,104.670078030585,104.883087273931,117.200047093807,123.545363628244,103.373909322807
"DryGB4-009",123.13125544159,109.876137540249,125.363089505247,132.688465608281,103.940452462656,134.048817431751,126.883760293801,140.894959097893,121.550588892528,110.759302262136,127.007960451748,121.866795967362,119.82906022968,128.850806704388,104.489987115481,135.037371068257,127.096924217198,102.858620283863,140.853810920944,121.275765816733,108.250976902967,117.511807519763,130.226990897567,123.084590677564,132.562616942514,127.361226097736,111.266887455731,138.891155951803,137.623426629728,133.403027832682,127.086366442262,122.848235447389,140.031088072914,114.71167555169,124.667547632384,133.759720212546,137.186464475979,133.4482905152,131.442418998502,140.029385129042,142.504917266062,114.762647763867,108.560351163647,123.89141887847,130.794034958995,127.969037724658,119.45634842863,119.763107746064,135.501796433652,143.42289078366,119.168544353195
