code,Scientific.Name.with.Author,Common.Name,Family,FunctionalType,GrowthForm
ACCO22,Achnatherum contractum (B.L. Johnson) Barkworth,contracted ricegrass,Poaceae,CBG,PG
ACHY,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,CBG,PG
ACLE9,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass,Poaceae,CBG,PG
ACNE9,Achnatherum nelsonii (Scribn.) Barkworth,Columbia needlegrass,Poaceae,CBG,PG
ACHNAPG,Achnatherum P. Beauv.,needlegrass,Poaceae,CBG,PG
ACPI2,Achnatherum pinetorum (M.E. Jones) Barkworth,pine needlegrass,Poaceae,CBG,PG
ACTH7,Achnatherum thurberianum (Piper) Barkworth,Thurber's needlegrass,Poaceae,CBG,PG
AGCR,Agropyron cristatum (L.) Gaertn.,crested wheatgrass,Poaceae,CBG,PG
ARPU9,Aristida purpurea Nutt.,purple threeawn,Poaceae,WBG,PG
BOGR2,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,blue grama,Poaceae,WBG,PG
BRAR5,Bromus arvensis L.,field brome,Poaceae,CAG,AG
BRPO2,Bromus porteri (J.M. Coult.) Nash,Porter brome,Poaceae,CBG,PG
BRSI,Bromus sitchensis Trin.,Alaska brome,Poaceae,CBG,PG
BRTE,Bromus tectorum L.,cheatgrass,Poaceae,CAG,AG
CALO,Calamovilfa longifolia (Hook.) Scribn.,prairie sandreed,Poaceae,WRG,PG
DAUN,Danthonia unispicata (Thurb.) Munro ex Macoun,onespike danthonia,Poaceae,CBG,PG
ELEL5,Elymus elymoides (Raf.) Swezey,squirreltail,Poaceae,CBG,PG
ELLA3,Elymus lanceolatus (Scribn. & J.G. Sm.) Gould,thickspike wheatgrass,Poaceae,CRG,PG
ELMU3,Elymus multisetus M.E. Jones,big squirreltail,Poaceae,CBG,PG
FEID,Festuca idahoensis Elmer,Idaho fescue,Poaceae,CBG,PG
HECO26,Hesperostipa comata (Trin. & Rupr.) Barkworth,needle and thread,Poaceae,CBG,PG
KOMA,Koeleria macrantha (Ledeb.) Schult.,prairie Junegrass,Poaceae,CBG,PG
LEKI2,Leucopoa kingii (S. Watson) W.A. Weber,spike fescue,Poaceae,CRG,PG
LECI4,Leymus cinereus (Scribn. & Merr.) Ã. LÃ¶ve,basin wildrye,Poaceae,CRG,PG
MEBU,Melica bulbosa Geyer ex Porter & J.M. Coult.,oniongrass,Poaceae,CRG,PG
MUSQ3,Munroa squarrosa (Nutt.) Torr.,false buffalograss,Poaceae,WAG,AG
NAVI4,Nassella viridula (Trin.) Barkworth,green needlegrass,Poaceae,CBG,PG
PASM,Pascopyrum smithii (Rydb.) A. Love,western wheatgrass,Poaceae,CRG,PG
PLJA,Pleuraphis jamesii Torr.,James' galleta,Poaceae,WRG,PG
POBU,Poa bulbosa L.,bulbous bluegrass,Poaceae,CBG,PG
POCO,Poa compressa L.,Canada bluegrass,Poaceae,CRG,PG
POCU3,Poa cusickii Vasey,Cusick's bluegrass,Poaceae,CBG,PG
POFE,Poa fendleriana (Steud.) Vasey,muttongrass,Poaceae,CBG,PG
POPR,Poa pratensis L.,Kentucky bluegrass,Poaceae,CRG,PG
POSE,Poa secunda J. Presl,Sandberg bluegrass,Poaceae,POSE,PG
POWH2,Poa wheeleri Vasey,Wheeler's bluegrass,Poaceae,CBG,PG
PSSP6,Pseudoroegneria spicata (Pursh) Ã. LÃ¶ve,bluebunch wheatgrass,Poaceae,CBG,PG
SCPA,Schedonnardus paniculatus (Nutt.) Trel.,tumblegrass,Poaceae,WBG,PG
SPCR,Sporobolus cryptandrus (Torr.) A. Gray,sand dropseed,Poaceae,WBG,PG
VUMI,Vulpia microstachys (Nutt.) Munro,small fescue,Poaceae,CAG,AG
VUOC,Vulpia octoflora (Walter) Rydb.,sixweeks fescue,Poaceae,CAG,AG
ALLE7,Aliciella leptomeria (A. Gray) J.M. Porter,sand gilia,Polemoniaceae,AF,AF
COLI2,Collomia linearis Nutt.,tiny trumpet,Polemoniaceae,AF,AF
ERDI2,Eriastrum diffusum (A. Gray) H. Mason,miniature woollystar,Polemoniaceae,AF,AF
ERSI2,Eriastrum signatum D. Gowen,marked woollystar,Polemoniaceae,AF,AF
ERWI,Eriastrum wilcoxii (A. Nelson) H. Mason,Wilcox's woollystar,Polemoniaceae,AF,AF
GIBR,Gilia brecciarum M.E. Jones,Nevada gilia,Polemoniaceae,AF,AF
GIIN2,Gilia inconspicua (Sm.) Sweet,shy gilia,Polemoniaceae,AF,AF
GISA,Gilia salticola Eastw.,salt gilia,Polemoniaceae,AF,AF
GISI,Gilia sinuata Douglas ex Benth.,rosy gilia,Polemoniaceae,AF,AF
GITW,Gilia tweedyi Rydb.,Tweedy's gila,Polemoniaceae,AF,AF
GYPA2,Gymnosteris parvula A. Heller,smallflower gymnosteris,Polemoniaceae,AF,AF
IPPO2,Ipomopsis polycladon (Torr.) V.E. Grant,manybranched ipomopsis,Polemoniaceae,AF,AF
LATE6,Lathrocasis tenerrima (A. Gray) L.A. Johnson,delicate gilia,Polemoniaceae,AF,AF
LEHA11,Leptosiphon harknessii (Curran) J.M. Porter & L.A. Johnson,Harkness' flaxflower,Polemoniaceae,AF,AF
LESE17,Leptosiphon septentrionalis (H. Mason) J.M. Porter & L.A. Johnson,northern linanthus,Polemoniaceae,AF,AF
LIPU11,Linanthus pungens (Torr.) J.M. Porter & L.A. Johnson,granite prickly phlox,Polemoniaceae,PF,PF
MIGR,Microsteris gracilis (Hook.) Greene,slender phlox,Polemoniaceae,AF,AF
PHAU3,Phlox austromontana Coville,mountain phlox,Polemoniaceae,PF,PF
PHDI3,Phlox diffusa Benth.,spreading phlox,Polemoniaceae,PF,PF
PHHO,Phlox hoodii Richardson,spiny phlox,Polemoniaceae,PF,PF
PHLOXPF,Phlox L.,phlox,Polemoniaceae,PF,PF
PHLO2,Phlox longifolia Nutt.,longleaf phlox,Polemoniaceae,PF,PF
PHMU3,Phlox multiflora A. Nelson,flowery phlox,Polemoniaceae,PF,PF
PHST11,Phlox stansburyi (Torr.) A. Heller,cold-desert phlox,Polemoniaceae,PF,PF
CHWA2,Chorizanthe watsonii Torr. & A. Gray,fivetooth spineflower,Polygonaceae,AF,AF
ERBA7,Eriogonum baileyi S. Watson,Bailey's buckwheat,Polygonaceae,AF,AF
ERBR5,Eriogonum brevicaule Nutt.,shortstem buckwheat,Polygonaceae,PF,PF
ERCA8,Eriogonum caespitosum Nutt.,matted buckwheat,Polygonaceae,PF,PF
ERCE2,Eriogonum cernuum Nutt.,nodding buckwheat,Polygonaceae,AF,AF
ERFA2,Eriogonum fasciculatum Benth.,Eastern Mojave buckwheat,Polygonaceae,SH,SH
ERHE2,Eriogonum heracleoides Nutt.,parsnipflower buckwheat,Polygonaceae,PF,PF
ERJA,Eriogonum jamesii Benth.,James' buckwheat,Polygonaceae,PF,PF
ERIOGPF,Eriogonum Michx.,buckwheat,Polygonaceae,PF,PF
ERMI4,Eriogonum microthecum Nutt.,slender buckwheat,Polygonaceae,SH,SH
EROV,Eriogonum ovalifolium Nutt.,cushion buckwheat,Polygonaceae,PF,PF
ERRA3,Eriogonum racemosum Nutt.,redroot buckwheat,Polygonaceae,PF,PF
ERUM,Eriogonum umbellatum Torr.,sulphur-flower buckwheat,Polygonaceae,PF,PF
POBI6,Polygonum bistortoides Pursh,American bistort,Polygonaceae,PF,PF
POCO10,Polygonum convolvulus L.,black bindweed,Polygonaceae,AF,AF
PODO4,Polygonum douglasii Greene,Douglas' knotweed,Polygonaceae,AF,AF
LERE7,Lewisia rediviva Pursh,bitter root,Portulacaceae,PF,PF
DOPU,Dodecatheon pulchellum (Raf.) Merr.,darkthroat shootingstar,Primulaceae,PF,PF
CETE5,Ceratocephala testiculata (Crantz) Roth,curveseed butterwort,Ranunculaceae,AF,AF
CLHI,Clematis hirsutissima Pursh,hairy clematis,Ranunculaceae,PF,PF
DEAN,Delphinium andersonii A. Gray,Anderson's larkspur,Ranunculaceae,PF,PF
DELPHPF,Delphinium L.,larkspur,Ranunculaceae,PF,PF
DENU2,Delphinium nuttallianum Pritz. ex Walp.,twolobe larkspur,Ranunculaceae,PF,PF
DESC,Delphinium scaposum Greene,tall mountain larkspur,Ranunculaceae,PF,PF
THOC,Thalictrum occidentale A. Gray,western meadow-rue,Ranunculaceae,PF,PF
AMAL2,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry,Rosaceae,TR,TR
FRVE,Fragaria vesca L.,woodland strawberry,Rosaceae,PF,PF
GETR,Geum triflorum Pursh,old man's whiskers,Rosaceae,PF,PF
POAR7,Potentilla arguta Pursh,tall cinquefoil,Rosaceae,PF,PF
POCO13,Potentilla concinna Richardson,elegant cinquefoil,Rosaceae,PF,PF
POHI6,Potentilla hippiana Lehm.,woolly cinquefoil,Rosaceae,PF,PF
PONE7,Potentilla newberryi A. Gray,Newberry's cinquefoil,Rosaceae,PF,PF
PUTR2,Purshia tridentata (Pursh) DC.,antelope bitterbrush,Rosaceae,SH,SH
GABI,Galium bifolium S. Watson,twinleaf bedstraw,Rubiaceae,AF,AF
GABO2,Galium boreale L.,northern bedstraw,Rubiaceae,PF,PF
COUM,Comandra umbellata (L.) Nutt.,bastard toadflax,Santalaceae,PF,PF
HEPA11,Heuchera parvifolia Nutt. ex Torr. & A. Gray,littleleaf alumroot,Saxifragaceae,PF,PF
LIGL2,Lithophragma glabrum Nutt.,bulbous woodland-star,Saxifragaceae,PF,PF
BEWY,Besseya wyomingensis (A. Nelson) Rydb.,Wyoming besseya,Scrophulariaceae,PF,PF
CAAN7,Castilleja angustifolia (Nutt.) G. Don,northwestern Indian paintbrush,Scrophulariaceae,PF,PF
CACH7,Castilleja chromosa A. Nelson,northwestern Indian paintbrush,Scrophulariaceae,PF,PF
CAFL7,Castilleja flava S. Watson,yellow Indian paintbrush,Scrophulariaceae,PF,PF
CAIN14,Castilleja integra A. Gray,wholeleaf Indian paintbrush,Scrophulariaceae,PF,PF
CAPA25,Castilleja pallescens (A. Gray) Greenm.,pale Indian paintbrush,Scrophulariaceae,PF,PF
CAPI3,Castilleja pilosa (S. Watson) Rydb.,parrothead Indian paintbrush,Scrophulariaceae,PF,PF
COPA3,Collinsia parviflora Lindl.,maiden blue eyed Mary,Scrophulariaceae,AF,AF
CORA5,Cordylanthus ramosus Nutt. ex Benth.,bushy bird's beak,Scrophulariaceae,AF,AF
MINA,Mimulus nanus Hook. & Arn.,dwarf purple monkeyflower,Scrophulariaceae,AF,AF
ORTE2,Orthocarpus tenuifolius (Pursh) Benth.,thinleaved owl's-clover,Scrophulariaceae,AF,AF
PEAR,Penstemon arenicola A. Nelson,sand penstemon,Scrophulariaceae,PF,PF
PEAR2,Penstemon aridus Rydb.,stiffleaf penstemon,Scrophulariaceae,PF,PF
PEAU2,Penstemon auriberbis Pennell,Colorado beardtongue,Scrophulariaceae,PF,PF
PECY3,Penstemon cyaneus Pennell,blue penstemon,Scrophulariaceae,PF,PF
PEFR3,Penstemon fruticosus (Pursh) Greene,bush penstemon,Scrophulariaceae,PF,PF
PEHU,Penstemon humilis Nutt. ex A. Gray,low beardtongue,Scrophulariaceae,PF,PF
PEJA2,Penstemon janishiae N.H. Holmgren,Antelope Valley beardtongue,Scrophulariaceae,PF,PF
PEPA26,Penstemon parvus Pennell,Aquarius Plateau beardtongue,Scrophulariaceae,PF,PF
PESP,Penstemon speciosus Douglas ex Lindl.,royal penstemon,Scrophulariaceae,PF,PF
VETH,Verbascum thapsus L.,common mullein,Scrophulariaceae,AF,AF
VEAR,Veronica arvensis L.,corn speedwell,Scrophulariaceae,AF,AF
SEDE2,Selaginella densa Rydb.,lesser spikemoss,Selaginellaceae,SEL,PF
PLMA4,Plectritis macrocera Torr. & A. Gray,longhorn plectritis,Valerianaceae,AF,AF
VAOC2,Valeriana occidentalis A. Heller,western valerian,Valerianaceae,PF,PF
VINU2,Viola nuttallii Pursh,Nuttall's violet,Violaceae,PF,PF
VIPR3,Viola praemorsa Douglas ex Lindl.,canary violet,Violaceae,PF,PF
BR,bedrock,,,BR,R
BY,boulder,,,BY,R
CB,cobble,,,CB,R
AF000,Dead beyond recognition code,,,AF,AF
AG000,Dead beyond recognition code,,,AG,AG
PF000,Dead beyond recognition code,,,PF,PF
PG000,Dead beyond recognition code,,,PG,PG
SH000,Dead beyond recognition code,,,SH,SH
EL,embedded litter,,,EL,L
GR,gravel,,,GR,R
HL,herbaceous litter,,,HL,L
LC,lichen,,,LC,LC
M,moss,,,M,M
NO GAPS >60 cm,NO GAPS >60 cm,,,NO GAPS,NA
NO PLANTS,NO PLANTS,,,N,N
None,none,,,N,N
N,none,,,N,N
S,soil,,,S,S
ST,stone,,,ST,R
AF047,Unknown annual forb,,,AF,AF
AF400,Unknown annual forb,,,AF,AF
AF013,Unknown annual forb,,,AF,AF
AF046,Unknown annual forb,,,AF,AF
AF024,Unknown annual forb,,,AF,AF
AF,Unknown annual forb,,,AF,AF
AF036,Unknown annual forb,,,AF,AF
AF034,Unknown annual forb,,,AF,AF
AF026,Unknown annual forb,,,AF,AF
AF033,Unknown annual forb,,,AF,AF
PF400,Unknown perennial forb,,,PF,PF
PF,Unknown perennial forb,,,PF,PF
PF035,Unknown perennial forb,,,PF,PF
PF311,Unknown perennial forb,,,PF,PF
PF318,Unknown perennial forb,,,PF,PF
PF326,Unknown perennial forb,,,PF,PF
PF306,Unknown perennial forb,,,PF,PF
PF110,Unknown perennial forb,,,PF,PF
PF043,Unknown perennial forb,,,PF,PF
VL,vagrant lichen,,,VL,VL
WL,woody litter,,,WL,L
