code,Scientific.Name.with.Author,Common.Name,Family,FunctionalType,GrowthForm
EREN,Erigeron engelmannii A. Nelson,Engelmann's fleabane,Asteraceae,PF,PF
ERFI2,Erigeron filifolius (Hook.) Nutt.,threadleaf fleabane,Asteraceae,PF,PF
ERGR2,Erigeron gracilis Rydb.,quill fleabane,Asteraceae,PF,PF
ERIGE2PF,Erigeron L.,fleabane,Asteraceae,PF,PF
ERLI,Erigeron linearis (Hook.) Piper,desert yellow fleabane,Asteraceae,PF,PF
EROC,Erigeron ochroleucus Nutt.,buff fleabane,Asteraceae,PF,PF
ERPU2,Erigeron pumilus Nutt.,shaggy fleabane,Asteraceae,PF,PF
ERRY,Erigeron rydbergii Cronquist,Rydberg's fleabane,Asteraceae,PF,PF
ERSP4,Erigeron speciosus (Lindl.) DC.,aspen fleabane,Asteraceae,PF,PF
ERSU2,Erigeron subtrinervis Rydb. ex Porter & Britton,threenerve fleabane,Asteraceae,PF,PF
ERTW,Erigeron tweedyi Canby,Tweedy's fleabane,Asteraceae,PF,PF
ERLA6,Eriophyllum lanatum (Pursh) Forbes,common woolly sunflower,Asteraceae,PF,PF
EUIN9,Eurybia integrifolia (Nutt.) G.L. Nesom,thickstem aster,Asteraceae,PF,PF
GAAR,Gaillardia aristata Pursh,blanketflower,Asteraceae,PF,PF
GUSA2,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed,Asteraceae,SSH,SSH
HEVI4,Heterotheca villosa (Pursh) Shinners,hairy false goldenaster,Asteraceae,PF,PF
HISC2,Hieracium scouleri Hook.,Scouler's woollyweed,Asteraceae,PF,PF
HYRI,Hymenoxys richardsonii (Hook.) Cockerell,pingue rubberweed,Asteraceae,PF,PF
IOAL,Ionactis alpina (Nutt.) Greene,Lava aster,Asteraceae,PF,PF
LASE,Lactuca serriola L.,prickly lettuce,Asteraceae,AF,AF
LASO2,Laennecia sophiifolia (Kunth) G.L. Nesom,leafy horseweed,Asteraceae,AF,AF
LAGL5,Layia glandulosa (Hook.) Hook. & Arn.,whitedaisy tidytips,Asteraceae,AF,AF
LOAR5,Logfia arvensis (L.) Holub,field cottonrose,Asteraceae,AF,AF
